x,        y,         z,    speed,    acceleration,      cur,  cur_ch_r, time,    theta,          gear, s,          throttle, brake, steering
215735.1, 2546230.0, 27.8, 1.16e-06, 6.92111916578e-06, -0.0, -0.0,     310.713, -1.23262802429, 1,    1.169e-08,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.25e-06, 6.92089633958e-06, -0.0, 0.0,      310.813, -1.23262802429, 1,    2.42e-08,   0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.33e-06, 6.91620516591e-06, -0.0, 0.0,      310.913, -1.23262802429, 1,    3.759e-08,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.33e-06, 6.91621244187e-06, -0.0, 0.0,      311.014, -1.23262802429, 1,    5.098e-08,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.42e-06, 6.91619652571e-06, -0.0, 0.0,      311.114, -1.23262802429, 1,    6.517e-08,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.48e-06, 6.93200308888e-06, -0.0, 0.0,      311.218, -1.23262802429, 1,    8.001e-08,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.37e-06, 7.13465851732e-06, -0.0, 0.0,      311.319, -1.23262802429, 1,    9.387e-08,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.07-06,  6.91422019372e-06, -0.0, 0.0,      311.417, -1.23262802429, 1,    1.043e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 7.71e-07, 6.92427465765e-06, -0.0, 0.0,      311.517, -1.23262802429, 1,    1.124e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 5.95e-07, 6.95072003509e-06, -0.0, 0.0,      311.617, -1.23262802429, 1,    1.185e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 5.08e-07, 6.94483469488e-06, -0.0, 0.0,      311.717, -1.23262802429, 1,    1.233e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 3.68e-07, 6.9401876317e-06,  -0.0, 0.0,      311.817, -1.23262802429, 1,    1.26e-07,   0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 2.22e-07, 6.95618746249e-06, -0.0, 0.0,      311.917, -1.23262802429, 1,    1.291e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 2.22e-07, 7.02506258676e-06, -0.0, 0.0,      312.017, -1.23262802429, 1,    1.312e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 1.49-07,  6.97223731549e-06, -0.0, 0.0,      312.117, -1.23262802429, 1,    1.321e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 2.32e-07, 6.95174458087e-06, -0.0, 0.0,      312.224, -1.23262802429, 1,    1.356e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 3.58e-07, 6.95643757354e-06, -0.0, 0.0,      312.323, -1.23262802429, 1,    1.383e-07,  0.0,      0.0, -0.0
215735.1, 2546230.0, 27.8, 0.202,    4.13635826111,     -0.0, 0.0,      312.424, -1.23262176483, 1,    0.001476,   100.0,    0.0, -0.0
215735.2, 2546229.9, 27.8, 0.625,    -0.0276021845639,  -0.0, 0.0,      312.524, -1.23261291391, 1,    0.00779,    0.0,      0.0, -0.0
215735.2, 2546229.9, 27.8, 0.706,    4.27811813354,     -0.0, 0.0,      312.624, -1.23260894885, 1,    0.01425,    100.0,    0.0, -0.0
215735.2, 2546229.8, 27.8, 1.14,     4.36146640778,     -0.0, 0.0,      312.724, -1.2325976349,  1,    0.02301,    100.0,    0.0, -0.0
215735.2, 2546229.7, 27.8, 1.23,     -0.0435771085322,  -0.0, 0.0,      312.824, -1.23259213446, 1,    0.03272,    0.0,      0.0, -0.0
215735.3, 2546229.5, 27.8, 1.72,     4.51036643982,     -0.0, 0.0,      312.924, -1.23257665616, 1,    0.05561,    100.0,    0.0, -0.0
215735.4, 2546229.4, 27.8, 1.72,     -0.0533916801214,  -0.0, 0.0,      313.024, -1.23257106214, 1,    0.0785,     100.0,    0.0, -0.0
215735.4, 2546229.2, 27.8, 1.85,     4.62368583679,     -0.0, 0.0,      313.124, -1.23255792295, 1,    0.09886,    100.0,    0.0, -0.0
215735.53841, 2546229.00793, 27.8432844607, 2.23859262466, -0.0637737438083, -0.0, 0.0, 1580910313.2248, -1.23254526241, 1, 0.114491275235, 0.0, 0.0, -0.0
215735.613942, 2546228.79318, 27.8440381992, 2.23468446732, 4.72359037399, -0.0, 0.0, 1580910313.3240, -1.23254041443, 1, 0.136838119908, 0.0, 0.0, -0.0
215735.690034, 2546228.57683, 27.8438639967, 2.56773400307, -0.0655080229044, -0.0, 0.0, 1580910313.4242, -1.23252673516, 1, 0.162515459939, 0.0, 0.0, -0.0
215735.78354, 2546228.31104, 27.8447691924, 2.56274056435, -0.0598106011748, -0.0, 0.0, 1580910313.5245, -1.23252665632, 1, 0.188142865583, 0.0, 0.0, -0.0
215735.859915, 2546228.09395, 27.845512162, 2.55704760551, -0.0586954504251, 0.00409706580909, 0.160226418947, 1580910313.6290, -1.23230466371, 1, 0.213713341638, 0.0, 0.0, 2.27741837502
215735.940659, 2546227.86491, 27.8453304097, 2.73302698135, -0.0583841279149, -0.0, -0.149909453403, 1580910313.7244, -1.23134432868, 1, 0.241043611451, 0.0, 0.0, -0.0
215736.049762, 2546227.55602, 27.845726131, 2.72812318802, -0.0561788752675, -0.0, 0.0, 1580910313.8242, -1.2312885267, 1, 0.268324843331, 0.0, 0.0, -0.0
215736.137032, 2546227.30888, 27.845020825, 3.20150136948, 4.87757015228, -0.0, 0.0, 1580910313.9242, -1.23127191039, 1, 0.300339857026, 100.0, 0.0, -0.0
215736.236705, 2546227.02659, 27.843559077, 3.20150136948, -0.0797853767872, -0.0, 0.0, 1580910314.0246, -1.23124410494, 1, 0.332354870721, 100.0, 0.0, -0.0
215736.373047, 2546226.64082, 27.8441082174, 3.41236901283, -0.105557687581, -0.0, 0.0, 1580910314.1242, -1.22953990549, 1, 0.366478560849, 0.0, 0.0, -0.0
215736.464306, 2546226.38455, 27.8448943701, 3.40366268158, -0.073093906045, 0.00817109510362, 0.240067711405, 1580910314.2244, -1.22637718727, 1, 0.400515187665, 0.0, 0.0, 4.54141712189
215736.616626, 2546225.96026, 27.8451875956, 3.3967487812, 4.99794435501, -0.0, -0.240556356385, 1580910314.3243, -1.22586254271, 1, 0.434482675477, 0.0, 0.0, -0.0
215736.715257, 2546225.6858, 27.8450716441, 3.6441962719, -0.0778158307076, -0.0, 0.0, 1580910314.4248, -1.22584622638, 1, 0.470924638196, 0.0, 0.0, -0.0
215736.852898, 2546225.30275, 27.8450634563, 3.72133421898, 5.04499149323, -0.0, 0.0, 1580910314.5245, -1.22583689181, 1, 0.508137980386, 100.0, 0.0, -0.0
215736.988981, 2546224.92397, 27.8442375292, 4.04388237, -0.0909541398287, -0.0, 0.0, 1580910314.6245, -1.22581300601, 1, 0.548576804086, 0.0, 0.0, -0.0
215737.139971, 2546224.50378, 27.8446596945, 4.03568744659, 4.92000007629, -0.0, 0.0, 1580910314.7241, -1.22580866873, 1, 0.588933678552, 0.0, 0.0, -0.0
215737.268919, 2546224.14496, 27.8446002486, 4.23736858368, -0.0977564305067, 0.00789777951521, 0.186384057918, 1580910314.8241, -1.22516109406, 1, 0.631307364389, 0.0, 0.0, 4.38956308365
215737.412297, 2546223.74702, 27.8452202189, 4.22856140137, -0.0887096896768, -0.0, -0.186772255752, 1580910314.9241, -1.22429166924, 1, 0.673592978402, 0.0, 0.0, -0.0
215737.581071, 2546223.2795, 27.8440526845, 4.72295188904, 5.1858830452, -0.0, 0.0, 1580910315.0243, -1.22419945946, 1, 0.720822497293, 100.0, 0.0, -0.0
215737.716517, 2546222.90435, 27.8427511211, 4.72295188904, -0.10731755197, -0.0, 0.0, 1580910315.1242, -1.224157978, 1, 0.768052016183, 100.0, 0.0, -0.0
215737.923005, 2546222.33268, 27.8434110666, 5.05977296829, 4.96870946884, -0.0, 0.0, 1580910315.2240, -1.22414478516, 1, 0.818649745866, 0.0, 0.0, -0.0
215738.06893, 2546221.92862, 27.8428852037, 5.23877286911, 2.76399850845, -0.0, 0.0, 1580910315.3244, -1.22411588851, 1, 0.871037474557, 100.0, 0.0, -0.0
215738.275607, 2546221.35645, 27.8433441743, 5.5310087204, 2.86198711395, -0.0, 0.0, 1580910315.4243, -1.22409613253, 1, 0.926347561761, 0.0, 0.0, -0.0
215738.490544, 2546220.76144, 27.84341344, 5.76279115677, -0.132712036371, -0.0, 0.0, 1580910315.5244, -1.2240702316, 1, 0.983975473329, 100.0, 0.0, -0.0
215738.686933, 2546220.2179, 27.8443433261, 5.78351545334, -0.126594483852, -0.0, 0.0, 1580910315.6243, -1.22406653473, 1, 1.04181062786, 0.0, 0.0, -0.0
215738.86571, 2546219.72309, 27.8446134855, 5.77230119705, 5.37489652634, -0.0, 0.0, 1580910315.7241, -1.22405923868, 1, 1.09953363983, 0.0, 0.0, -0.0
